id,DATE,avg_AirTemp
571,25-Jul-19,28.8
572,26-Jul-19,29.1
573,27-Jul-19,29.15
574,28-Jul-19,28.2
575,29-Jul-19,27.4
576,30-Jul-19,27.2
577,31-Jul-19,28.05
578,1-Aug-19,29.45
579,2-Aug-19,29.05
580,3-Aug-19,26.9
581,4-Aug-19,28.25
582,5-Aug-19,28.45
583,6-Aug-19,28.4
584,7-Aug-19,28.95
585,8-Aug-19,29.5
586,9-Aug-19,29.3
587,10-Aug-19,27.35
588,11-Aug-19,28.5
589,12-Aug-19,28.8
590,13-Aug-19,29
591,14-Aug-19,28.6
592,15-Aug-19,30.2
593,16-Aug-19,30.5
594,17-Aug-19,30.55
595,18-Aug-19,29.8
596,19-Aug-19,29.25
597,20-Aug-19,29.8
598,21-Aug-19,28.55
599,22-Aug-19,29.55
600,23-Aug-19,29.25
601,24-Aug-19,28.65
602,25-Aug-19,27
603,26-Aug-19,29.05
604,27-Aug-19,27.45
605,28-Aug-19,26.5
606,29-Aug-19,29.15
607,30-Aug-19,30
608,31-Aug-19,28.4
609,1-Sep-19,25.65
610,2-Sep-19,28
611,3-Sep-19,28.55
612,4-Sep-19,28.05
613,5-Sep-19,28.5
614,6-Sep-19,27.8
615,7-Sep-19,28.05
616,8-Sep-19,26.75
617,9-Sep-19,26.4
618,10-Sep-19,27.75
619,11-Sep-19,27.25
620,12-Sep-19,28.15
621,13-Sep-19,27.75
622,14-Sep-19,28.65
623,15-Sep-19,28.15
624,16-Sep-19,27.75
625,17-Sep-19,29.15
626,18-Sep-19,28.35
627,19-Sep-19,28.75
628,20-Sep-19,25.15
629,21-Sep-19,27
630,22-Sep-19,25.4
631,23-Sep-19,26.4
632,24-Sep-19,27.95
633,25-Sep-19,28.75
634,26-Sep-19,28.35
635,27-Sep-19,29.85
636,28-Sep-19,28.65
637,29-Sep-19,28.4
638,30-Sep-19,27.55
639,1-Oct-19,25.55
640,2-Oct-19,28.25
641,3-Oct-19,27.65
642,4-Oct-19,27.15
643,5-Oct-19,27
644,6-Oct-19,27.05
645,7-Oct-19,27.4
646,8-Oct-19,27.05
647,9-Oct-19,28.65
648,10-Oct-19,28.15
649,11-Oct-19,27.6
650,12-Oct-19,26.55
651,13-Oct-19,26.45
652,14-Oct-19,27.8
653,15-Oct-19,28.7
654,16-Oct-19,28.9
655,17-Oct-19,28.2
656,18-Oct-19,27.95
657,19-Oct-19,28.05
658,20-Oct-19,27.95
659,21-Oct-19,27.95
660,22-Oct-19,27.55
661,23-Oct-19,28.15
662,24-Oct-19,28.25
663,25-Oct-19,29.05
664,26-Oct-19,28.7
665,27-Oct-19,27.6
666,28-Oct-19,27.65
667,29-Oct-19,28.15
668,30-Oct-19,29.75
669,31-Oct-19,28.55
670,1-Nov-19,29.15
671,2-Nov-19,28.8
672,3-Nov-19,28.55
673,4-Nov-19,27.7
674,5-Nov-19,28.5
675,6-Nov-19,26.75
676,7-Nov-19,28
677,8-Nov-19,26.6
678,9-Nov-19,26.75
679,10-Nov-19,26.65
680,11-Nov-19,26.7
681,12-Nov-19,27.2
682,13-Nov-19,26.6
683,14-Nov-19,27.65
684,15-Nov-19,25.55
685,16-Nov-19,26.7
686,17-Nov-19,29.45
687,18-Nov-19,28.55
688,19-Nov-19,29
689,20-Nov-19,25.5
690,21-Nov-19,26.2
691,22-Nov-19,25.75
692,23-Nov-19,27.1
693,24-Nov-19,26.3
694,25-Nov-19,27.4
695,26-Nov-19,28.35
696,27-Nov-19,28.15
697,28-Nov-19,28.6
698,29-Nov-19,26.85
699,30-Nov-19,24.1
700,1-Dec-19,24.8
701,2-Dec-19,25.75
702,3-Dec-19,26.55
703,4-Dec-19,26.5
704,5-Dec-19,25.9
705,6-Dec-19,27.1
706,7-Dec-19,25.55
707,8-Dec-19,25.7
708,9-Dec-19,24.05
709,10-Dec-19,24.6
710,11-Dec-19,27.05
711,12-Dec-19,24.95
712,13-Dec-19,26.6
713,14-Dec-19,27.55
714,15-Dec-19,27.8
715,16-Dec-19,27.7
716,17-Dec-19,27.35
717,18-Dec-19,26.05
718,19-Dec-19,27
719,20-Dec-19,27.45
720,21-Dec-19,26.5
721,22-Dec-19,26.85
722,23-Dec-19,25.4
723,24-Dec-19,26.65
724,25-Dec-19,26.05
725,26-Dec-19,28.45
726,27-Dec-19,28.7
727,28-Dec-19,26.85
728,29-Dec-19,27.65
729,30-Dec-19,26.95
730,31-Dec-19,26.1
731,1-Jan-20,28.6
732,2-Jan-20,26.5
733,3-Jan-20,25.65
734,4-Jan-20,23.95
735,5-Jan-20,25.7
736,6-Jan-20,25.45
737,7-Jan-20,25.65
738,8-Jan-20,25.9
739,9-Jan-20,28.5
740,10-Jan-20,25.85
741,11-Jan-20,28.1
742,12-Jan-20,27.05
743,13-Jan-20,24.4
744,14-Jan-20,23.55
745,15-Jan-20,25.45
746,16-Jan-20,27.1
747,17-Jan-20,25.5
748,18-Jan-20,25.25
749,19-Jan-20,25.65
750,20-Jan-20,24.75
751,21-Jan-20,24.3
752,22-Jan-20,24.15
753,23-Jan-20,24.25
754,24-Jan-20,24.8
755,25-Jan-20,27.1
756,26-Jan-20,26.75
757,27-Jan-20,25.75
758,28-Jan-20,24.75
759,29-Jan-20,25.95
760,30-Jan-20,25.7
761,31-Jan-20,22.15
762,1-Feb-20,23.1
763,2-Feb-20,23.1
764,3-Feb-20,23.4
765,4-Feb-20,22.8
766,5-Feb-20,22.5
767,6-Feb-20,24.3
768,7-Feb-20,27.4
769,8-Feb-20,27.65
770,9-Feb-20,28.8
771,10-Feb-20,22
772,11-Feb-20,24.75
773,12-Feb-20,24.75
774,13-Feb-20,24.6
775,14-Feb-20,25.55
776,15-Feb-20,25.2
777,16-Feb-20,26.4
778,17-Feb-20,25.8
779,18-Feb-20,27.65
780,19-Feb-20,24.5
781,20-Feb-20,23.15
782,21-Feb-20,23.4
783,22-Feb-20,24.1
784,23-Feb-20,23.15
785,24-Feb-20,26.3
786,25-Feb-20,27.8
787,26-Feb-20,26
788,27-Feb-20,26.75
789,28-Feb-20,25.75
790,29-Feb-20,26.1
791,1-Mar-20,24.9
792,2-Mar-20,27.25
793,3-Mar-20,27.1
794,4-Mar-20,26.9
795,5-Mar-20,26.45
796,6-Mar-20,27.25
797,7-Mar-20,26.55
798,8-Mar-20,27.15
799,9-Mar-20,28.1
800,10-Mar-20,27.85
801,11-Mar-20,28.2
802,12-Mar-20,28.55
803,13-Mar-20,27.9
804,14-Mar-20,26.1
805,15-Mar-20,26.35
806,16-Mar-20,27.65
807,17-Mar-20,26.8
808,18-Mar-20,27.55
809,19-Mar-20,26.15
810,20-Mar-20,26.9
811,21-Mar-20,26.9
812,22-Mar-20,26.25
813,23-Mar-20,27.3
814,24-Mar-20,27.85
815,25-Mar-20,27.75
816,26-Mar-20,27.7
817,27-Mar-20,28.25
818,28-Mar-20,27.6
819,29-Mar-20,28.4
820,30-Mar-20,28.55
821,31-Mar-20,28.8
822,1-Apr-20,27.8
823,2-Apr-20,28.5
824,3-Apr-20,28.4
825,4-Apr-20,28.7
826,5-Apr-20,28.5
827,6-Apr-20,28.4
828,7-Apr-20,26.3
829,8-Apr-20,27.5
830,9-Apr-20,28.2
831,10-Apr-20,28.55
832,11-Apr-20,28.85
833,12-Apr-20,28.35
834,13-Apr-20,27.85
835,14-Apr-20,29.2
836,15-Apr-20,26.9
837,16-Apr-20,28.35
838,17-Apr-20,28.1
839,18-Apr-20,28.75
840,19-Apr-20,29.2
841,20-Apr-20,28.75
842,21-Apr-20,29.55
843,22-Apr-20,30
844,23-Apr-20,28.95
845,24-Apr-20,29.35
846,25-Apr-20,29.95
847,26-Apr-20,29.75
848,27-Apr-20,29.6
849,28-Apr-20,30.15
850,29-Apr-20,30.5
851,30-Apr-20,28.75
852,1-May-20,29.5
853,2-May-20,29.6
854,3-May-20,29.55
855,4-May-20,30.2
856,5-May-20,31.3
857,6-May-20,30.7
858,7-May-20,30.8
859,8-May-20,30.7
860,9-May-20,30
861,10-May-20,29.8
862,11-May-20,31.15
863,12-May-20,29.6
864,13-May-20,30.95
865,14-May-20,31.15
866,15-May-20,29.7
867,16-May-20,27.85
868,17-May-20,29.95
869,18-May-20,30.2
870,19-May-20,30.4
871,20-May-20,30.45
872,21-May-20,31.25
873,22-May-20,29.95
874,23-May-20,27.35
875,24-May-20,28.8
876,25-May-20,29.3
877,26-May-20,31.4
878,27-May-20,29.75
879,28-May-20,30.3
880,29-May-20,32.3
881,30-May-20,30.2
882,31-May-20,30.5
883,1-Jun-20,31.05
884,2-Jun-20,30.5
885,3-Jun-20,30.5
886,4-Jun-20,31.25
887,5-Jun-20,30.85
888,6-Jun-20,30.25
889,7-Jun-20,30
890,8-Jun-20,30.7
891,9-Jun-20,29
892,10-Jun-20,30.4
893,11-Jun-20,31.5
894,12-Jun-20,30.05
895,13-Jun-20,29.9
896,14-Jun-20,29.25
897,15-Jun-20,30.25
898,16-Jun-20,29.8
899,17-Jun-20,29.9
900,18-Jun-20,30.55
901,19-Jun-20,30.45
902,20-Jun-20,28.9
903,21-Jun-20,29.75
904,22-Jun-20,29.8
905,23-Jun-20,30.05
906,24-Jun-20,29.35
907,25-Jun-20,30.55
908,26-Jun-20,30.15
909,27-Jun-20,29.7
910,28-Jun-20,28.85
911,29-Jun-20,29.3
912,30-Jun-20,29.2
913,1-Jul-20,30.15
914,2-Jul-20,30
915,3-Jul-20,28.75
916,4-Jul-20,28.25
917,5-Jul-20,28.75
918,6-Jul-20,29.5
919,7-Jul-20,29.1
920,8-Jul-20,29.6
921,9-Jul-20,29.1
922,10-Jul-20,29.95
923,11-Jul-20,28.95
924,12-Jul-20,30.1
925,13-Jul-20,28.4
926,14-Jul-20,27.65
927,15-Jul-20,28.65
928,16-Jul-20,29.55
929,17-Jul-20,28.6
930,18-Jul-20,30.5
931,19-Jul-20,29.35
932,20-Jul-20,29.55
933,21-Jul-20,29.8
934,22-Jul-20,30.1
935,23-Jul-20,29.1
936,24-Jul-20,28.4
937,25-Jul-20,29.65
938,26-Jul-20,29.35
939,27-Jul-20,29.55
940,28-Jul-20,28.9
941,29-Jul-20,29.85
942,30-Jul-20,30.5
943,31-Jul-20,29.45
944,1-Aug-20,28.5
945,2-Aug-20,29.55
946,3-Aug-20,30.25
947,4-Aug-20,29.1
948,5-Aug-20,29.65
949,6-Aug-20,29.8
950,7-Aug-20,30.15
951,8-Aug-20,28.45
952,9-Aug-20,29
953,10-Aug-20,29.1
954,11-Aug-20,29.9
955,12-Aug-20,29.8
956,13-Aug-20,29
957,14-Aug-20,28.8
958,15-Aug-20,28.2
959,16-Aug-20,28.6
960,17-Aug-20,28.55
961,18-Aug-20,29.95
962,19-Aug-20,29.7
963,20-Aug-20,28.75
964,21-Aug-20,27.75
965,22-Aug-20,28.1
966,23-Aug-20,28.5
967,24-Aug-20,29.65
968,25-Aug-20,27.5
969,26-Aug-20,29.75
970,27-Aug-20,29.5
971,28-Aug-20,29.35
972,29-Aug-20,28.5
973,30-Aug-20,28.3
974,31-Aug-20,28.6
975,1-Sep-20,28.85
976,2-Sep-20,29.25
977,3-Sep-20,29.75
978,4-Sep-20,29.5
979,5-Sep-20,29.2
980,6-Sep-20,30
981,7-Sep-20,29.45
982,8-Sep-20,29.9
983,9-Sep-20,29.6
984,10-Sep-20,30.4
